standard_num,enterprise_name
T/CWAN 0048—2022,郑州机械研究所有限公司
GB/T 39714.1-2020,浙江嘉日氟塑料有限公司
T/CIAPS 0009—2021,双一力(宁波)电池有限公司
NB/T 20095-2012,中广核工程有限公司
T/CNEA 101.33—2021,江苏银环精密钢管有限公司
GB/T 15829-2021,郑州机械研究所有限公司
GB/T 40817.2-2021,东方电气集团东方电机有限公司
GB/T 9443-2019,中铁宝桥集团有限公司
GB/T 40575-2021,中国科学院沈阳自动化研究所
T/CNEA 102.4—2021,国核示范电站有限责任公司
GB/T 39279-2020,哈尔滨焊接研究院有限公司
GB/T 40380.1-2021,西安赛隆金属材料有限责任公司
T/CESS 8—2021,华为技术有限公司
GB/T 31833-2015,天津英康科技发展有限公司
NB/T 20006.8-2012,中国核动力研究设计院
GB/T 27309-2014,中国认证认可协会等
T/CCMI 9—2020,伊莱特能源装备股份有限公司
GB/T 33463.1-2017,北京首钢国际工程技术有限公司
GB/T 37973-2019,四川大学
GB/T 25701-2010,洛阳矿山机械工程设计研究院有限责任公司
GB/T 7764-2017,西双版纳州质量技术监督综合检测中心
T/CESA 9167—2021,普元信息技术股份有限公司
T/CCAS 013.6—2022,中国水泥协会
GB/T 19934.1-2021,北京机械工业自动化研究所有限公司
GB/T 37910.1-2019,中广核工程有限公司
GB/T 18115.1-2020,包头稀土研究院
GB/T 32180.4-2015,念经审计学院
GB/T 41115-2021,漳州良福钢结构工程有限公司
GB/T 40685-2021,贵阳市大数据产业集团有限公司
GB/T 35116-2017,大连理工大学
GB/T 34560.5-2017,山东电工电气集团有限公司
T/CNEA 103.8—2021,中核武汉核电运行技术股份有限公司
GB/T 39254-2020,西安航天发动机有限公司
GB/T 35076-2018,机械科学研究总院
NB/T 20394-2016,中广核工程有限公司
T/CSTM 00219—2020,上海华谊精细化工有限公司
GB/T 1683-2018,三角轮胎股份有限公司
T/BSRS 047—2020,生态环境部西南核与辐射安全监督站
T/CISA 137—2021,鞍钢股份有限公司
T/CPSS 1004—2020,上海电器设备检测所有限公司
T/HAGI 003—2019,广东省粤科标准化研究院
NB/T 20337-2015,中国核动力研究设计院
T/CMES 04001—2020,航空工业成都飞机工业(集团)有限责任公司
GB/T 16507.8-2013,中国特种设备检测研究院
GB/T 39136-2020,中国船舶工业综合技术经济研究院
GB/T 30589-2014,贵州钢绳(集团)有限责任公司等
NB/T 25083-2018,苏州热工研究院有限公司
T/CPSS 1004—2019,上海电气电力电子有限公司
T/SZAS 16—2020,深圳汉诺威国际机器人发展股份有限公司
T/CSCP 0035.3—2017,北京科技大学
GB/T 41157.4-2022,河北五维航电科技股份有限公司
T/CAMETA 10004—2021,青岛海尔科技有限公司
T/CMTBA 1009.2—2021,沈阳机床(集团)有限责任公司
YD/T 3760-2020,中软国际科技服务有限公司
JB/T 11023-2010,中国第一重型机械股份公司
GB/T 19155-2017,上海市建设机械检测中心
GB/T 33009.1-2016,浙江中控研究院有限公司
GB/T 38898-2020,内蒙古北方重工业集团有限公司
GB/T 41157.1-2022,中广核研究院有限公司
GB/T 31563-2015,东莞市五株电子科技有限公司
GB/T 40741-2021,陕西化建工程有限责任公司
GB/T 21099.3-2018,西安东风机电股份有限公司
GB/T 24589.4-2011,甲骨文(中国)软件系统有限公司
GB/T 13871.5-2015,西北橡胶塑料研究设计院
GB/T 27423-2019,苏州电器科学研究院股份有限公司
GB/T 30094-2013,华东电网公司信息中心
YB/T 5128-2018,华侨大学
GB/T 39949.2-2021,广东省韶关市质量计量监督检测所
GB/T 29822-2013,无锡市国涛钨铼合金厂
GB/T 19903.14-2019,北京机械工业自动化研究所有限公司
GB/T 37086-2018,福建顺昌虹润精密仪器有限公司
GB/T 40576-2021,重庆华数机器人有限公司
T/ZJASE 007—2021,汕头市超声仪器研究所有限公司
YB/T 4840-2020,首钢集团有限公司
GB/T 38257-2019,北京化工大学
GB/T 11835-2016,北新集团建材股份有限公司
T/CSAE 136—2020,苏州誉高紧固系统有限公司
GB/T 38657-2020,上海发电设备成套设计研究院有限责任公司
GB/T 26899-2011,四川省建筑科学研究院
T/CECS 10010—2019,华东建筑设计研究总院
Q/320583 XJHU 002-2017,昆山华恒焊接股份有限公司
T/CAS 459—2020,江苏上上电缆集团有限公司
GB/T 39560.2-2020,宁波检验检疫科学技术研究院
T/FSAS 31—2020,佛山市质量和标准化研究院
T/NBHTA 003—2021,宁波康锐达金属科技有限公司
T/CSCP 0035.6—2017,钢铁研究总院青岛海洋腐蚀研究所
T/SDL 3.3—2021,深圳供电规划设计院有限公司
GB/T 33956-2017,鞍钢股份有限公司
GB/T 24511-2017,山西太钢不锈钢股份有限公司
GB/T 35456-2017,厦门康乐佳运动器材有限公司
GB/T 35076-2018,西安远征自动化控制有限公司
T/CMES 24001—2018,天津福云天翼科技有限公司
GB/T 30976.1-2014,东土科技股份有限公司
Q/047-2017,巨力索具股份有限公司
GB/T 39402-2020,武汉科技大学
T/ATCRR 28—2021,衢州华友钴新材料有限公司
T/CGMA 041003—2018,中核苏阀科技实业股份有限公司
NB/T 20155-2012,苏州热工研究院有限公司
T/CWAN 0031—2021,郑州机械研究所有限公司
GB/T 30992-2014,机械工业仪器仪表综合技术经济研究所
T/CWAN 0069—2022,贵州航天天马机电科技有限公司
GB/T 38424-2019,通标标准技术服务有限公司
T/SDBDA 30—2022,高质标准化研究院(山东)有限公司
GB/T 39466.3-2020,浙江中智达科技有限公司
Q/ASB 141-2012,鞍钢股份有限公司
GB/T 786.2-2018,北京机械工业自动化研究所有限公司
HG/T 4759-2014,中海油常州环保涂料有限公司
GB/T 3808-2018,钢铁研究总院
GB/T 40940-2021,青岛英派斯健康科技股份有限公司
GB/T 27205-2019,中国国家认证认可监督管理委员会
GB/T 40800-2021,杭州汽轮铸锻有限公司
GB/T 11373-2017,胜利油田新大管业科技发展有限责任公司
GB/T 39241-2020,烟台中集来福士海洋工程有限公司
T/SSEA 0040—2019,天津荣程联合钢铁集团有限公司
GB/T 40565.2-2021,宁波嘉诚液压有限公司
GB 21370-2017,中国平煤神马集团开封炭素有限公司
T/GDES 53—2021,王老吉大健康产业(梅州)有限公司
GB/T 36016-2018,远东电缆有限公司
GB/T 17215.673-2021,杭州百富电子技术有限公司
T/CSEA 17—2021,上海圣钇金属防腐技术有限公司
NB/T 20453-2017,中国核工业第五建设有限公司
JB/T 11574-2013,齐重数控装备股份有限公司
NB/T 20460-2017,中国核工业二三建设有限公司
T/BSRS 007—2019,福建福清核电有限公司
T/SZZX 001—2018,深圳市龙华区消费者委员会
GB 14907-2018,北京金隅涂料有限责任公司
GB/T 5272-2017,太原重工股份有限公司
GB/T 41478-2022,机械工业仪器仪表综合技术经济研究所
GB/T 40728-2021,江苏北人机器人系统股份有限公司
GB/T 14164-2013,邯郸钢铁集团有限责任公司
GB/T 36014.1-2018,武汉高德红外股份有限公司
GB/T 38678-2020,华清安泰(北京)科技股份有限公司
XB/T 612.1-2019,钢研纳克检测技术股份有限公司
YB/T 4761-2019,山东冠洲股份有限公司
YB/T 092-2019,山东中天重工有限公司
GB/T 31212-2014,广州市特种承压设备检测研究院
T/CNS 1-2016,山东蓝符高能物理技术有限公司
GB/T 20001.2-2015,中国航空综合技术研究所
JB/T 5063-2014,广州数控设备有限公司
Q/XGSZ 513-2020,西宁特殊钢股份有限公司
GB/T 22849-2014,国家针织产品质量监督检验中心
GB/T 32836-2016,中国建筑西南设计研究院有限公司
YB/T 4826-2020,燕山大学
GB/T 41157.2-2022,中广核工程有限公司
T/CSM 11—2020,重庆德隆盛实业有限公司
NB/T 20448-2017,北京广利核系统工程有限公司
Q/GSIJ 0219015-2015,广船国际有限公司
Q/BQB 171-2019,宝山钢铁股份有限公司
GB/T 32076.4-2015,晋亿实业股份有限公司
T/AIITRE 10003—2021,北京汉信信息技术有限责任公司
T/CWAN 0042—2020,中机焊业科技(福建)有限公司
GB/T 19348.1-2014,中国商用飞机有限责任公司上海飞机设计研究院
GB/T 29166-2021,中国石油大学(华东)
GB/T 6525-2019,中南大学
NB/T 20415-2017,中国核工业华兴建设有限公司
GB/T 34008-2017,中国建筑科学研究院
T/SZS 4027—2020,北京京东世纪贸易有限公司
Q/CY82-2020,重庆川仪自动化股份有限公司
GB/T 230.1-2018,冶金工业信息标准研究院
T/CECS 10151—2021,中国建筑西南设计研究院有限公司
T/BSRS 006—2019,江苏核电有限公司
T/SSEA 0096—2020,重庆钢铁股份有限公司
GB/T 38877-2020,湖北武洲新材料科技有限公司
GB/T 33940-2017,福建省闽旋科技股份有限公司
T/STACAES 018—2021,航天晨光股份有限公司
Q/QPL-2015,福建七匹狼实业股份有限公司
YB/T 091-2019,江阴兴澄特种钢铁有限公司
GB/T 34107-2017,中车大连机车车辆有限公司
GB/T 1728-2020,上海市涂料研究所有限公司
T/CBMCA 014—2020,本标准参加起草单位：玉田县九天建设工程质量检测有限公司
YB/T 5147-2017,湖南国盛石墨科技有限公司
GB/T 36244-2018,北京东西分析仪器有限公司
T/CNEA 006.6—2021,中国核电工程有限公司
Q/320681JEK23-2017,江苏神通阀门股份有限公司
T/CESA 1146—2021,大象慧云信息技术有限公司
GB/T 39429-2020,爱德森(厦门)电子有限公司
GB/T 39804-2021,唐山市宏林硅胶有限公司
GB/T 10322.1-2014,宝山钢铁股份有限公司
T/CAQI 157—2020,陕西科仪阳光检测技术服务有限公司
GB/T 33199.1-2016,东南大学
GB/T 21832.1-2018,浙江德威不锈钢管业制造有限公司
GB/T 9125.1-2020,中机生产力促进中心
NB/T 20450.3-2017,上海核工程研究设计院
GB/T 33150-2016,济南二机床集团有限公司
Q/BQB 307-2018,宝山钢铁股份有限公司
GB/T 32964-2016,浙江久立特材科技股份有限公司
GB/T 37133-2018,苏州智绿环保科技有限公司
T/CNEA 101.3—2021,东方电气(广州)重型机器有限公司
GB/T 4323-2017,乐清市联轴器厂
GB/T 37995-2019,国电联合动力技术有限公司
GB/T 40833-2021,捷科思农业科技(徐州)有限公司
GB/T 18569.2-2020,福建省闽旋科技股份有限公司
GB/T 36013-2018,苏州博田自动化技术有限公司
GB/T 41329-2022,西安赛隆金属材料有限责任公司
GB/T 23901.4-2019,浙江省特种设备检验研究院
T/CNEA 001.1—2021,中国广核集团有限公司
GB/T 3478.4-2008,中机生产力促进中心
GB/T 39853.1-2021,深圳市科陆电子科技股份有限公司
T/CGCC 5—2017,中国商业联合会零售供货商专业委员会
DB31/T 681-2015,航天晨光股份有限公司
GB/T 38066-2019,广州市环境保护技术设备公司
YB/T 4941-2021,邢台钢铁有限责任公司
GB/T 40807-2021,山东易码智能科技股份有限公司
GB/T 4930-2021,宝武特种冶金有限公司
GB/T 36074.3-2019,金税信息技术服务股份有限公司
GB/T 37791-2019,冶金工业信息标准研究院
Q/CY 107-2017,重庆川仪自动化股份有限公司
Q/140100ZFHY002-2020,山西中辐核仪器有限责任公司
GB/T 41477-2022,东北大学
HJ 1202—2021,中国核电工程有限公司
GB/T 39167-2020,杭州华光焊接新材料股份有限公司
T/CSAE 99—2019,苏州工业园区新凯精密五金有限公司
T/CSCP 0036—2018,北京科技大学
T/CWAN 0027—2022,浙江劳士顿科技股份有限公司
GB/T 29618.5231-2018,施耐德电气(中国)有限公司
GB/T 36797-2018,福建马标新型建材有限公司
T/BSRS 057—2021,江苏核电有限公司
GB/T 37586-2019,常州新区河海热处理工程有限公司
T/CECS 10097—2020,宁夏千弓预应力技术工程有限公司
T/CSCP 0007—2017,中国石油天然气管道工程有限公司天津分公司
GB/T 35456-2017,广博集团股份有限公司
GB/T 40795.2-2021,国标(北京)检验认证有限公司
T/CWAN 0011—2019,福建省特种设备检验研究院
GB/T 19154-2017,上海普英特高层设备有限公司
GB/T 37996-2019,青岛铁路橡胶厂
GB/T 711-2017,河北钢铁股份有限公司唐山分公司
T/CSCP 0035.12—2017,武汉材料保护研究所
GB/T 2520-2017,武汉钢铁股份有限公司
T/CAS 459—2020,上海起帆电缆股份有限公司
YB/T 4951-2021,张家港扬子江冷轧板有限公司
GB/T 24131.1-2018,中国石油天然气股份有限公司石油化工研究院
GB/T 229-2020,南京钢铁股份有限公司
GB/T 34500.5-2017,天津包钢稀土研究院有限责任公司
GB 21342-2013,钢铁研究总院
T/AIITRE 20002—2020,中国电力企业联合会科技开发服务中心
GB/T 41354-2022,广东益杜科技有限公司
GB/T 3850-2015,西安健科新技术开发有限公司
T/CNEA 101.7—2021,东方电气(广州)重型机器有限公司
GB/T 6420-2017,中集车辆(集团)有限公司
T/CAS 459—2020,广州番禺电缆集团有限公司
GB/T 18593-2010,中国石油管道科技研究中心等
GB/T 19769.2-2022,罗克韦尔自动化(中国)有限公司
T/CECS 10010—2019,海口开源水务资产管理有限公司
T/CIAA 204—2020,中国科学院理化技术研究所
T/CSCP 0028—2017,水利部水工金属结构质量检验测试中心
GB/T 41196-2021,聚智诚(东莞)科技有限公司
GB/T 21099.3-2018,北京昆仑海岸传感技术有限公司
GB/T 37612-2019,江苏申源集团有限公司
T/FSAS 35—2019,佛山市品牌发展研究院
Q/BQB 480-2018,宝山钢铁股份有限公司
T/SSEA 0188—2022,中航国际租赁有限公司
Q/GSIJ 0229005-2015,广船国际有限公司
Q/CY 153-2015,重庆川仪自动化股份有限公司
T/CEEIA 472—2020,深圳市麦格米特焊接技术有限公司
T/SZZX 001—2018,北京奇宝科技有限公司
T/CSTM 00043.9—2018,中国科学院金属研究所
GB/T 19686-2015,国家玻璃纤维产品质量监督检验中心
T/CFCA 0033—2022,北京农学院
HG/T 3037-2019,沈阳橡胶研究设计院有限公司
T/CSTM 00017.2—2021,山东电力工程咨询院有限公司
T/CECS 10009—2019,唐山市丰润区供水公司
T/CNEA 102.16—2021,东方电气(广州)重型机器有限公司
GB/T 27205-2019,中国认证认可协会
T/AIITRE 20002—2021,河南昊邦信息科技有限公司
GB/T 38206.5-2021,厦门银华机械有限公司
GB/T 714-2015,江苏沙钢集团有限公司
HG/T 4845-2015,中海油常州涂料化工研究院有限公司
T/CSTM 00765—2021,北京钢研检验认证有限公司
YD/T 3763.8-2021,京东云计算有限公司
Q/CY  109-2016,重庆川仪自动化股份有限公司
T/CSCP 0024—2017,钢铁研究总院青岛海洋腐蚀研究所
GB/T 25105.1-2014,机械工业仪器仪表综合技术经济研究所
Q/12BLZB 0108-2019,天津大桥焊材集团有限公司
T/CFCA 0028—2021,福建亲亲股份有限公司
T/CISA 006—2019,上海发电设备成套设计研究院有限责任公司
GB 20052-2020,特变电工股份有限公司新疆变压器厂
GB/T 41272-2022,深圳市标利科技开发有限公司
GB/T 40817.1-2021,东方电气集团东方电机有限公司
GB/T 40559-2021,杭州骑客智能科技有限公司
T/CECS 10116—2021,上海联创建筑设计有限公司
T/GDC 65—2022,广东省交通规划设计研究院集团股份有限公司
GB/T 37400.9-2019,二重(德阳)重型装备有限公司
GB/T 38066-2019,浙江申联环保集团有限公司
GB/T 39903-2021,季华实验室
GB/T 15445.5-2011,钢铁研究总院
GB/T 33518-2017,山西大新传动技术有限公司
GB/T 36027-2018,冶金工业信息标准研究院
GB 25520-2010,中信重工机械股份有限公司
T/HBMIA 6—2019,河北龙凤山铸业有限公司
NB/T 20409-2017,大亚湾核电运营管理有限责任公司
T/CSCP 0025—2017,中国建筑材料科学研究总院
T/CSCP 0007—2017,水利部水工金属结构质量检验测试中心
GB/T 3960-2016,嘉兴市中达上材轴承有限公司
GB/T 11259-2015,上海泰司检测科技有限公司
GB/T 19769.1-2022,西安陕鼓动力股份有限公司
Q/CY 56-2018,重庆川仪自动化股份有限公司
Q/WYC137-2020,吴忠仪表有限责任公司
GB/T 11253-2019,首钢集团有限公司
GB/T 37738-2019,北京华胜天成科技股份有限公司
GB/T 29618.5110-2021,厦门宇电自动化科技有限公司
GB/T 38938-2020,中国运载火箭技术研究院
T/CCAS 013.4—2020,南方水泥有限公司
GB/T 26744-2011,中冶建筑研究总院有限公司
T/CWAN 0065—2022,玉林师范学院
YD/T 3763.6-2021,普元信息技术股份有限公司
GB/T 24001-2016,苏州高新区管委会
T/SZZX 001—2018,通标标准技术服务有限公司深圳分公司
